model,delta,loss_mse_vs_ref,n_shifted_gates,value_Mz,ref_Mz,value_XX_bond_avg,ref_XX_bond_avg,value_YY_bond_avg,ref_YY_bond_avg,value_ZZ_bond_avg,ref_ZZ_bond_avg,value_E_bond,ref_E_bond
heisenberg,-0.4412460680289316,0.0012630322876506545,60.0,0.7344538745907458,0.7169876017330581,-0.00046237357422745814,-0.012074758238173989,-0.00014800338988742054,-0.006957070082509616,0.5071350655026696,0.5109487851385262,0.5065246885385547,0.49191695681784253
ising,-0.4412460680289316,0.000543221176470584,20.0,0.9108,0.8996400000000001,7.393896193716622e-35,-6.219055028315628e-20,-1.2380956910902306e-34,-5.28725821232346e-20,0.8195000000000001,0.791,0.8195000000000001,0.791
heisenberg,-0.41736490755967726,0.0013510186980799205,60.0,0.7303546646173398,0.7169876017330581,-6.140510265493029e-05,-0.012074758238173989,-7.119199553053688e-06,-0.006957070082509616,0.5040190388423367,0.5109487851385262,0.5039505145401287,0.49191695681784253
ising,-0.41736490755967726,0.00014773882352941143,20.0,0.9024000000000001,0.8996400000000001,-5.892674805836047e-20,-6.219055028315628e-20,-5.892674805836055e-20,-5.28725821232346e-20,0.796,0.791,0.796,0.791
heisenberg,-0.3947589216125771,0.0025076758453286725,60.0,0.7279954957658002,0.7169876017330581,-1.059988085623048e-05,-0.012074758238173989,-4.564255973008883e-06,-0.006957070082509616,0.4875150348111579,0.5109487851385262,0.48749987067432865,0.49191695681784253
ising,-0.3947589216125771,0.00020096235294117849,20.0,0.8963999999999999,0.8996400000000001,-4.904922229807318e-35,-6.219055028315628e-20,4.904922229807318e-35,-5.28725821232346e-20,0.7834999999999999,0.791,0.7834999999999999,0.791
heisenberg,-0.37335904214476,0.00203896182709987,60.0,0.7179613949979343,0.7169876017330581,-0.00021369229420131102,-0.012074758238173989,-0.00011489973436585419,-0.006957070082509616,0.4649387808315899,0.5109487851385262,0.46461018880302274,0.49191695681784253
ising,-0.37335904214476,0.0002737152941176456,20.0,0.9099999999999999,0.8996400000000001,-1.2761261452792697e-20,-6.219055028315628e-20,-1.2761261452792339e-20,-5.28725821232346e-20,0.8154999999999999,0.791,0.8154999999999999,0.791
heisenberg,-0.35309988612909526,0.0017032323911723994,60.0,0.7146398212693524,0.7169876017330581,-0.0005767682367051211,-0.012074758238173989,-0.000197110434561731,-0.006957070082509616,0.4865611906312516,0.5109487851385262,0.48578731195998476,0.49191695681784253
ising,-0.35309988612909526,0.0003207741176470591,20.0,0.9036000000000002,0.8996400000000001,4.962592574391081e-20,-6.219055028315628e-20,4.9625925743910814e-20,-5.28725821232346e-20,0.7995000000000001,0.791,0.7995000000000001,0.791
