mode,model,delta,loss_mse_vs_ref,n_shifted_gates
xx,heisenberg,1.2645778025155154,0.17228205674417993,20.0
xx,ising,1.2645778025155154,0.0005123811764705893,0.0
xx,heisenberg,1.336490193188254,0.2357122520665436,20.0
xx,ising,1.336490193188254,0.0001280517647058823,0.0
xx,heisenberg,1.4124859608114548,0.2830376832073168,20.0
xx,ising,1.4124859608114548,0.00016226352941176486,0.0
xx,heisenberg,1.4927972951665573,0.3132098823237851,20.0
xx,ising,1.4927972951665573,0.0003090400000000005,0.0
xx,heisenberg,1.577669571381064,0.31159790905689666,20.0
xx,ising,1.577669571381064,3.101647058823514e-05,0.0
xx,heisenberg,1.667362099622907,0.27332717986633115,20.0
xx,ising,1.667362099622907,0.00014245176470588285,0.0
xx,heisenberg,1.7621489173704834,0.24904864942899582,20.0
xx,ising,1.7621489173704834,0.00019633411764705935,0.0
xx,heisenberg,1.8623196266790718,0.22485435502037332,20.0
xx,ising,1.8623196266790718,0.00015534588235294086,0.0
xx,heisenberg,1.9681802790016327,0.17986733475097644,20.0
xx,ising,1.9681802790016327,0.0001317694117647059,0.0
xx,heisenberg,2.080054310267486,0.08409502831075732,20.0
xx,ising,2.080054310267486,0.00010993411764705888,0.0
xx,heisenberg,2.198283529075721,0.059797496566190975,20.0
xx,ising,2.198283529075721,0.00018264000000000051,0.0
xx,heisenberg,2.3232291610226077,0.17942594972901058,20.0
xx,ising,2.3232291610226077,0.00013501647058823565,0.0
xx,heisenberg,2.4552729523537717,0.3306500468785575,20.0
xx,ising,2.4552729523537717,0.00019962823529411756,0.0
xx,heisenberg,2.594818336313024,0.40395851026009355,20.0
xx,ising,2.594818336313024,0.0002386400000000005,0.0
xx,heisenberg,2.7422916657515284,0.4299276894010137,20.0
xx,ising,2.7422916657515284,5.9157647058823714e-05,0.0
xx,heisenberg,2.898143515763133,0.36490976490055865,20.0
xx,ising,2.898143515763133,0.00012268705882352953,0.0
xx,heisenberg,3.062850060325979,0.3058320283985051,20.0
xx,ising,3.062850060325979,0.0005197223529411776,0.0
xx,heisenberg,3.2369145271562694,0.2262133356419108,20.0
xx,ising,3.2369145271562694,0.00016428705882352967,0.0
xx,heisenberg,3.420868735219366,0.11528214033464687,20.0
xx,ising,3.420868735219366,0.00019346352941176508,0.0
xx,heisenberg,3.6152747195956465,0.09513953275506863,20.0
xx,ising,3.6152747195956465,0.0004170400000000005,0.0
xx,heisenberg,3.820726448665623,0.28491534291087506,20.0
xx,ising,3.820726448665623,0.0004068282352941185,0.0
xx,heisenberg,4.037851638860895,0.3450585722457088,20.0
xx,ising,4.037851638860895,8.979294117647092e-05,0.0
xx,heisenberg,4.267313672525386,0.2730725436790322,20.0
xx,ising,4.267313672525386,0.0002483341176470592,0.0
xx,heisenberg,4.509813624746718,0.17699195822227629,20.0
xx,ising,4.509813624746718,0.00010546352941176451,0.0
xx,heisenberg,4.766092405350053,0.09062594562093235,20.0
xx,ising,4.766092405350053,5.44047058823529e-05,0.0
xx,heisenberg,5.036933022599099,0.31218385498855244,20.0
xx,ising,5.036933022599099,0.0002127576470588236,0.0
xx,heisenberg,5.32316297552029,0.13407267153356034,20.0
xx,ising,5.32316297552029,0.00020800470588235262,0.0
xx,heisenberg,5.625656782159669,0.27563096631917605,20.0
xx,ising,5.625656782159669,7.675764705882334e-05,0.0
xx,heisenberg,5.945338651496844,0.16395968255599255,20.0
xx,ising,5.945338651496844,0.0003979811764705887,0.0
xx,heisenberg,6.283185307179589,0.00016163082106280784,20.0
xx,ising,6.283185307179589,8.866352941176488e-05,0.0
yy,heisenberg,-6.283185307179589,0.00022764341805688135,20.0
