mode,delta,loss_mse
yy,0.35309988612909526,0.43061874494035174
yy,0.37335904214476034,0.471768420609475
yy,0.3947589216125771,0.502005714157212
yy,0.4173649075596779,0.5429108348825855
yy,0.4412460680289318,0.5830380589138029
yy,0.46647536710246174,0.5965373931124998
yy,0.49312988782871536,0.5988280820330703
yy,0.5212910677342192,0.6102970041178617
yy,0.5510449476395579,0.5924418467956956
yy,0.5824824345397914,0.5653739251575777
yy,0.6156995793524993,0.5366288990380638
yy,0.6507978703820303,0.49596449747722576
yy,0.687884543396611,0.4461654025755899
yy,0.7270729092656556,0.392748073680295
yy,0.7684827001583452,0.33014354861952866
yy,0.8122404353611758,0.27555925045194957
yy,0.8584798078321985,0.2128333013101403
yy,0.9073420926729565,0.19658198803793359
yy,0.9589765787661355,0.1697716515727754
yy,1.0135410248977268,0.18201049106746583
yy,1.0712021417572508,0.23400625160810118
yy,1.1321361012887499,0.2760332148966787
yy,1.1965290749487107,0.37628318760346224
yy,1.2645778025155154,0.48762869218635246
yy,1.336490193188254,0.5674704117133411
yy,1.4124859608114548,0.627395967433034
yy,1.4927972951665573,0.6421415190240554
yy,1.577669571381064,0.633844016843584
yy,1.667362099622907,0.6067023368573804
yy,1.7621489173704834,0.5760073916841735
yy,1.8623196266790718,0.5349437372518799
yy,1.9681802790016327,0.44877048087948274
yy,2.080054310267486,0.29755241350679285
yy,2.198283529075721,0.2509099214440134
yy,2.3232291610226077,0.4910857339689135
yy,2.4552729523537717,0.6775613554503
yy,2.594818336313024,0.7754987146383465
yy,2.7422916657515284,0.8017513485133188
yy,2.898143515763133,0.7026122979072833
yy,3.062850060325979,0.6304639079148462
yy,3.2369145271562694,0.5628906709234647
yy,3.420868735219366,0.35201182507133405
yy,3.6152747195956465,0.33086623859572845
yy,3.820726448665623,0.636011210757605
yy,4.037851638860895,0.6930844174556984
yy,4.267313672525386,0.6163535604392788
yy,4.509813624746718,0.444260150600276
yy,4.766092405350053,0.3057478133357157
yy,5.036933022599099,0.6355399380608099
yy,5.32316297552029,0.37730799980071067
yy,5.625656782159669,0.5782207600234298
yy,5.945338651496844,0.42370026099106795
yy,6.283185307179589,0.07487401096534152
zz,-6.283185307179589,0.08099357968882831
zz,-5.945338651496838,0.07839496512426954
zz,-5.625656782159669,0.07652859479643268
zz,-5.323162975520285,0.0804333355136785
